2026-09-07T20:11:10.907+0000	connected to: mongodb://localhost/
2026-09-07T20:14:28.895+0000	[##############..........] companiesdb.companies	1.10GB/1.86GB (58.9%)
2026-09-07T20:14:31.894+0000	[##############..........] companiesdb.companies	1.11GB/1.86GB (59.7%)
2026-09-07T20:14:34.894+0000	[##############..........] companiesdb.companies	1.13GB/1.86GB (60.7%)
2026-09-07T20:14:37.894+0000	[##############..........] companiesdb.companies	1.14GB/1.86GB (61.4%)
2026-09-07T20:14:40.892+0000	[##############..........] companiesdb.companies	1.16GB/1.86GB (62.2%)
2026-09-07T20:14:43.893+0000	[###############.........] companiesdb.companies	1.17GB/1.86GB (62.9%)
2026-09-07T20:14:46.892+0000	[###############.........] companiesdb.companies	1.18GB/1.86GB (63.6%)
2026-09-07T20:14:49.893+0000	[###############.........] companiesdb.companies	1.20GB/1.86GB (64.3%)
2026-09-07T20:14:52.892+0000	[###############.........] companiesdb.companies	1.21GB/1.86GB (64.9%)
2026-09-07T20:14:55.892+0000	[###############.........] companiesdb.companies	1.22GB/1.86GB (65.7%)
2026-09-07T20:14:58.892+0000	[###############.........] companiesdb.companies	1.24GB/1.86GB (66.3%)
2026-09-07T20:15:01.892+0000	[################........] companiesdb.companies	1.24GB/1.86GB (66.7%)
2026-09-07T20:15:04.893+0000	[################........] companiesdb.companies	1.26GB/1.86GB (67.5%)
2026-09-07T20:15:07.893+0000	[################........] companiesdb.companies	1.27GB/1.86GB (68.3%)
2026-09-07T20:15:10.890+0000	[################........] companiesdb.companies	1.29GB/1.86GB (69.0%)
2026-09-07T20:15:13.890+0000	[################........] companiesdb.companies	1.31GB/1.86GB (70.0%)
2026-09-07T20:15:16.890+0000	[################........] companiesdb.companies	1.32GB/1.86GB (70.8%)
2026-09-07T20:15:19.890+0000	[#################.......] companiesdb.companies	1.33GB/1.86GB (71.5%)
2026-09-07T20:15:22.890+0000	[#################.......] companiesdb.companies	1.35GB/1.86GB (72.3%)
2026-09-07T20:15:25.892+0000	[#################.......] companiesdb.companies	1.37GB/1.86GB (73.3%)
2026-09-07T20:15:28.890+0000	[#################.......] companiesdb.companies	1.38GB/1.86GB (74.3%)
2026-09-07T20:15:31.890+0000	[##################......] companiesdb.companies	1.40GB/1.86GB (75.4%)
2026-09-07T20:15:34.890+0000	[##################......] companiesdb.companies	1.42GB/1.86GB (76.4%)
2026-09-07T20:15:37.890+0000	[##################......] companiesdb.companies	1.44GB/1.86GB (77.2%)
2026-09-07T20:15:40.888+0000	[##################......] companiesdb.companies	1.45GB/1.86GB (78.0%)
2026-09-07T20:15:43.888+0000	[##################......] companiesdb.companies	1.47GB/1.86GB (78.8%)
2026-09-07T20:15:46.889+0000	[###################.....] companiesdb.companies	1.48GB/1.86GB (79.6%)
2026-09-07T20:15:49.888+0000	[###################.....] companiesdb.companies	1.50GB/1.86GB (80.5%)
2026-09-07T20:15:52.888+0000	[###################.....] companiesdb.companies	1.52GB/1.86GB (81.4%)
2026-09-07T20:15:55.888+0000	[###################.....] companiesdb.companies	1.54GB/1.86GB (82.4%)
2026-09-07T20:15:58.888+0000	[###################.....] companiesdb.companies	1.55GB/1.86GB (83.2%)
2026-09-07T20:16:01.888+0000	[####################....] companiesdb.companies	1.56GB/1.86GB (83.9%)
2026-09-07T20:16:04.888+0000	[####################....] companiesdb.companies	1.58GB/1.86GB (84.9%)
2026-09-07T20:16:07.888+0000	[####################....] companiesdb.companies	1.60GB/1.86GB (85.8%)
2026-09-07T20:16:10.886+0000	[####################....] companiesdb.companies	1.61GB/1.86GB (86.6%)
2026-09-07T20:16:13.886+0000	[#####################...] companiesdb.companies	1.63GB/1.86GB (87.5%)
2026-09-07T20:16:16.886+0000	[#####################...] companiesdb.companies	1.65GB/1.86GB (88.4%)
2026-09-07T20:16:19.886+0000	[#####################...] companiesdb.companies	1.66GB/1.86GB (89.3%)
2026-09-07T20:16:22.886+0000	[#####################...] companiesdb.companies	1.68GB/1.86GB (90.3%)
2026-09-07T20:16:25.886+0000	[#####################...] companiesdb.companies	1.70GB/1.86GB (91.3%)
2026-09-07T20:16:28.886+0000	[######################..] companiesdb.companies	1.72GB/1.86GB (92.2%)
2026-09-07T20:16:31.887+0000	[######################..] companiesdb.companies	1.73GB/1.86GB (93.0%)
2026-09-07T20:16:34.886+0000	[######################..] companiesdb.companies	1.75GB/1.86GB (93.7%)
2026-09-07T20:16:37.886+0000	[######################..] companiesdb.companies	1.76GB/1.86GB (94.3%)
2026-09-07T20:16:40.884+0000	[######################..] companiesdb.companies	1.77GB/1.86GB (95.2%)
2026-09-07T20:16:43.884+0000	[#######################.] companiesdb.companies	1.79GB/1.86GB (96.2%)
2026-09-07T20:16:46.883+0000	[#######################.] companiesdb.companies	1.81GB/1.86GB (97.0%)
2026-09-07T20:16:49.883+0000	[#######################.] companiesdb.companies	1.83GB/1.86GB (98.0%)
2026-09-07T20:16:52.883+0000	[#######################.] companiesdb.companies	1.84GB/1.86GB (99.0%)
2026-09-07T20:16:55.883+0000	[#######################.] companiesdb.companies	1.86GB/1.86GB (99.9%)
2026-09-07T20:16:56.420+0000	[########################] companiesdb.companies	1.86GB/1.86GB (100.0%)
2026-09-07T20:16:56.421+0000	0 document(s) imported successfully. 0 document(s) failed to import.
